REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.apache.commons.fileupload2.core.ProgressListener	NOP	update(long,long,int)	org.apache.commons.fileupload2.core.ProgressListener	SOURCE
org.apache.commons.fileupload2.core.FileUploadByteCountLimitException	FileUploadByteCountLimitException(java.lang.String,long,long,java.lang.String,java.lang.String)	FileUploadSizeException(java.lang.String,long,long)	org.apache.commons.fileupload2.core.FileUploadSizeException	SOURCE
org.apache.commons.fileupload2.core.FileUploadSizeException	FileUploadSizeException(java.lang.String,long,long)	FileUploadException(java.lang.String)	org.apache.commons.fileupload2.core.FileUploadException	SOURCE
org.apache.commons.fileupload2.core.FileUploadException	FileUploadException(java.lang.String)	IOException(java.lang.String)	java.io.IOException	SOURCE
org.apache.commons.fileupload2.core.FileUploadException	FileUploadException(java.lang.String,java.lang.Throwable)	IOException(java.lang.String,java.lang.Throwable)	java.io.IOException	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	headerNameToValueListMap	LinkedHashMap()	java.util.LinkedHashMap	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	addHeader(java.lang.String,java.lang.String)	add(E)	java.util.List	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	addHeader(java.lang.String,java.lang.String)	computeIfAbsent(K,java.util.function.Function)	java.util.Map	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	addHeader(java.lang.String,java.lang.String)	toLowerCase(java.lang.String)	org.apache.commons.fileupload2.core.FileItemHeadersImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	addHeader(java.lang.String,java.lang.String)	apply(T)	java.util.function.Function	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	addHeader(java.lang.String,java.lang.String)	ArrayList()	java.util.ArrayList	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeader(java.lang.String)	getList(java.lang.String)	org.apache.commons.fileupload2.core.FileItemHeadersImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeader(java.lang.String)	get(int)	java.util.List	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeaderNames()	iterator()	java.util.Set	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeaderNames()	keySet()	java.util.Map	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeaders(java.lang.String)	getList(java.lang.String)	org.apache.commons.fileupload2.core.FileItemHeadersImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeaders(java.lang.String)	emptyList()	java.util.Collections	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeaders(java.lang.String)	iterator()	java.util.List	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getList(java.lang.String)	get(java.lang.Object)	java.util.Map	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	getList(java.lang.String)	toLowerCase(java.lang.String)	org.apache.commons.fileupload2.core.FileItemHeadersImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemHeadersImpl	toLowerCase(java.lang.String)	toLowerCase(java.util.Locale)	java.lang.String	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	FileItemInputIteratorImpl(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	Object()	java.lang.Object	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	FileItemInputIteratorImpl(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	getSizeMax()	org.apache.commons.fileupload2.core.AbstractFileUpload	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	FileItemInputIteratorImpl(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	getFileSizeMax()	org.apache.commons.fileupload2.core.AbstractFileUpload	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	FileItemInputIteratorImpl(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	requireNonNull(T,java.lang.String)	java.util.Objects	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	FileItemInputIteratorImpl(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	findNextItem()	org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	close()	org.apache.commons.fileupload2.core.FileItemInputImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getMultiPartInput()	org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	skipPreamble()	org.apache.commons.fileupload2.core.MultipartInput	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	readBoundary()	org.apache.commons.fileupload2.core.MultipartInput	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	setBoundary(byte[])	org.apache.commons.fileupload2.core.MultipartInput	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getParsedHeaders(java.lang.String)	org.apache.commons.fileupload2.core.AbstractFileUpload	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	readHeaders()	org.apache.commons.fileupload2.core.MultipartInput	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getFieldName(org.apache.commons.fileupload2.core.FileItemHeaders)	org.apache.commons.fileupload2.core.AbstractFileUpload	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getHeader(java.lang.String)	org.apache.commons.fileupload2.core.FileItemHeaders	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	startsWith(java.lang.String)	java.lang.String	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	toLowerCase(java.util.Locale)	java.lang.String	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getBoundary(java.lang.String)	org.apache.commons.fileupload2.core.AbstractFileUpload	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	setBoundary(byte[])	org.apache.commons.fileupload2.core.MultipartInput	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getFileName(org.apache.commons.fileupload2.core.FileItemHeaders)	org.apache.commons.fileupload2.core.AbstractFileUpload	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	FileItemInputImpl(org.apache.commons.fileupload2.core.FileItemInputIteratorImpl,java.lang.String,java.lang.String,java.lang.String,boolean,long)	org.apache.commons.fileupload2.core.FileItemInputImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getHeader(java.lang.String)	org.apache.commons.fileupload2.core.FileItemHeaders	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getContentLength(org.apache.commons.fileupload2.core.FileItemHeaders)	org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	setHeaders(org.apache.commons.fileupload2.core.FileItemHeaders)	org.apache.commons.fileupload2.core.FileItemInputImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	noteItem()	org.apache.commons.fileupload2.core.MultipartInput$ProgressNotifier	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getFileName(org.apache.commons.fileupload2.core.FileItemHeaders)	org.apache.commons.fileupload2.core.AbstractFileUpload	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	FileItemInputImpl(org.apache.commons.fileupload2.core.FileItemInputIteratorImpl,java.lang.String,java.lang.String,java.lang.String,boolean,long)	org.apache.commons.fileupload2.core.FileItemInputImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getHeader(java.lang.String)	org.apache.commons.fileupload2.core.FileItemHeaders	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	getContentLength(org.apache.commons.fileupload2.core.FileItemHeaders)	org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	setHeaders(org.apache.commons.fileupload2.core.FileItemHeaders)	org.apache.commons.fileupload2.core.FileItemInputImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	noteItem()	org.apache.commons.fileupload2.core.MultipartInput$ProgressNotifier	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	findNextItem()	discardBodyData()	org.apache.commons.fileupload2.core.MultipartInput	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	getContentLength(org.apache.commons.fileupload2.core.FileItemHeaders)	parseLong(java.lang.String)	java.lang.Long	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	getContentLength(org.apache.commons.fileupload2.core.FileItemHeaders)	getHeader(java.lang.String)	org.apache.commons.fileupload2.core.FileItemHeaders	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	getMultiPartInput()	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	hasNext()	findNextItem()	org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	getContentType()	org.apache.commons.fileupload2.core.RequestContext	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	startsWith(java.lang.String)	java.lang.String	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	toLowerCase(java.util.Locale)	java.lang.String	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	FileUploadContentTypeException(java.lang.String,java.lang.String)	org.apache.commons.fileupload2.core.FileUploadContentTypeException	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	format(java.lang.String,java.lang.Object[])	java.lang.String	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	getContentLength()	org.apache.commons.fileupload2.core.RequestContext	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	isAssignableFrom(java.lang.Class)	java.lang.Class	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	getClass()	java.lang.Object	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	getContentLength()	org.apache.commons.fileupload2.core.RequestContext	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	FileUploadSizeException(java.lang.String,long,long)	org.apache.commons.fileupload2.core.FileUploadSizeException	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	format(java.lang.String,java.lang.Object[])	java.lang.String	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	getInputStream()	org.apache.commons.fileupload2.core.RequestContext	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl$1	onMaxLength(long,long)	FileUploadSizeException(java.lang.String,long,long)	org.apache.commons.fileupload2.core.FileUploadSizeException	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl$1	onMaxLength(long,long)	format(java.lang.String,java.lang.Object[])	java.lang.String	SOURCE
org.apache.commons.fileupload2.core.FileItemInputIteratorImpl	init(org.apache.commons.fileupload2.core.AbstractFileUpload,org.apache.commons.fileupload2.core.RequestContext)	getInputStream()	org.apache.commons.fileupload2.core.RequestContext	SOURCE
