id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	org.apache.commons.fileupload2.core.ProgressListener	update(long,long,int)	0	[false, false, false]		public	false	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/ProgressListener.java
2	org.apache.commons.fileupload2.core.FileUploadByteCountLimitException	FileUploadByteCountLimitException(java.lang.String,long,long,java.lang.String,java.lang.String)	0	[false, false, false, false, false]		public	false	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileUploadByteCountLimitException.java
3	org.apache.commons.fileupload2.core.FileUploadByteCountLimitException	getFieldName()	0	[]		public	true	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileUploadByteCountLimitException.java
4	org.apache.commons.fileupload2.core.FileUploadByteCountLimitException	getFileName()	0	[]		public	true	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileUploadByteCountLimitException.java
5	org.apache.commons.fileupload2.core.FileUploadSizeException	FileUploadSizeException(java.lang.String,long,long)	0	[false, false, false]		public	false	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileUploadSizeException.java
6	org.apache.commons.fileupload2.core.FileUploadSizeException	getActualSize()	0	[]		public	false	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileUploadSizeException.java
7	org.apache.commons.fileupload2.core.FileUploadSizeException	getPermitted()	0	[]		public	false	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileUploadSizeException.java
8	org.apache.commons.fileupload2.core.FileUploadException	FileUploadException(java.lang.String)	0	[false]		public	false	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileUploadException.java
9	org.apache.commons.fileupload2.core.FileUploadException	FileUploadException(java.lang.String,java.lang.Throwable)	0	[false, false]		public	false	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileUploadException.java
10	org.apache.commons.fileupload2.core.FileItemHeadersImpl	addHeader(java.lang.String,java.lang.String)	11	[false, false]	java.lang.Override	public	false	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileItemHeadersImpl.java
12	org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeader(java.lang.String)	13	[false]	java.lang.Override	public	true	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileItemHeadersImpl.java
14	org.apache.commons.fileupload2.core.FileItemHeadersImpl	getHeaderNames()	15	[]	java.lang.Override	public	true	/home/nima/Developer/taint-benchmarks/commons-fileupload/commons-fileupload2-core/src/main/java/org/apache/commons/fileupload2/core/FileItemHeadersImpl.java
